scheme_name,benefits,level,category,tags,combined
"Financial Assistance To Disabled Students Pursuing 10th, 11th, 12th Equivalent Exams",Sl. No. Class/Course Course Fee Assistance Exam Fee Assistance Registration Fee Assistance Admission Fee Assistance 1SSLC/10th Class 1750/- 500/- 100/---211th Class 1950/- 700/- 100/,State,Social welfare Empowerment,"APL,  BPL,  Disabled,  Financial Assistance,  PwD,  Student","Financial Assistance To Disabled Students Pursuing 10th, 11th, 12th Equivalent Exams Sl. No. Class/Course Course Fee Assistance Exam Fee Assistance Registration Fee Assistance Admission Fee Assistance 1SSLC/10th Class 1750/- 500/- 100/---211th Class 1950/- 700/- 100/ Social welfare Empowerment APL,  BPL,  Disabled,  Financial Assistance,  PwD,  Student"
Food Bill Assistance to SC Students,"- The food bill assistance 1,500/- per month Up to 10 Months will be granted to the Scheduled Caste SC students admitted in college affiliated host",State/ UT,"Education Learning, Social welfare Empowerment","Financial Assistance,  Food Bill,  Hostel,  SC,  Student","Food Bill Assistance to SC Students - The food bill assistance 1,500/- per month Up to 10 Months will be granted to the Scheduled Caste SC students admitted in college affiliated host Education Learning, Social welfare Empowerment Financial Assistance,  Food Bill,  Hostel,  SC,  Student"
"Financial Assistance to SC Students Studying in Medical, Engineering and Diploma Course for Purchasing Educational Instrument","Scholarship rate per student - For Medical Student 10,000/- - For Engineering Student 8,000/- - For Diploma Student 3,000/- Note The assistance shall be given in the",State/ UT,Education Learning,"Diploma,  Educational Instrument,  Engineering,  Financial Assistance,  Medical,  SC,  Student","Financial Assistance to SC Students Studying in Medical, Engineering and Diploma Course for Purchasing Educational Instrument Scholarship rate per student - For Medical Student 10,000/- - For Engineering Student 8,000/- - For Diploma Student 3,000/- Note The assistance shall be given in the Education Learning Diploma,  Educational Instrument,  Engineering,  Financial Assistance,  Medical,  SC,  Student"
Scheme of Giving Awards to Eminent Artists - Kalai Valarmani Award,"- Financial Assistance of 6,000/-. - Certificate of Appreciation. - A shawl worth 500/-. - 5 eminent artists are awarded e",State/ UT,Skills Employment,"Artists,  Award,  Culture,  Financial Assistance","Scheme of Giving Awards to Eminent Artists - Kalai Valarmani Award - Financial Assistance of 6,000/-. - Certificate of Appreciation. - A shawl worth 500/-. - 5 eminent artists are awarded e Skills Employment Artists,  Award,  Culture,  Financial Assistance"
Mukhyamantri Mahila Poshan Yojana,- Egg 2 Days/Week . - Dates 2 Days/Week . Note Dates are provided to those registered pregnant/lactating women who do not take eggs.,State/ UT,"Social welfare Empowerment, Women and Child, Health Wellness","Health,  Lactating Women,  Nutrition,  Pregnant Women","Mukhyamantri Mahila Poshan Yojana - Egg 2 Days/Week . - Dates 2 Days/Week . Note Dates are provided to those registered pregnant/lactating women who do not take eggs. Social welfare Empowerment, Women and Child, Health Wellness Health,  Lactating Women,  Nutrition,  Pregnant Women"
Mukhyamantri Mahalaxmi Kit Yojana,"- For Mothers Dry fruits, socks, scarp towels, shawls, blankets, bedsheets, sanitary pads, mustard oil, soap, nail cutters etc- For the girl child Cotton/warm cap, sock, loincloth, towel, baby soap, rubber sheet, warm blanket, vaccination card etc. Note Each kit will be provided to the mother and their first two girl children. For twins, both daughters and their mother will get one kit.",State/ UT,Health Wellness,"Girl Child,  Health,  Mother,  Nutrition,  Women","Mukhyamantri Mahalaxmi Kit Yojana - For Mothers Dry fruits, socks, scarp towels, shawls, blankets, bedsheets, sanitary pads, mustard oil, soap, nail cutters etc- For the girl child Cotton/warm cap, sock, loincloth, towel, baby soap, rubber sheet, warm blanket, vaccination card etc. Note Each kit will be provided to the mother and their first two girl children. For twins, both daughters and their mother will get one kit. Health Wellness Girl Child,  Health,  Mother,  Nutrition,  Women"
Scheme of Extending Financial Assistance to New Drama Productions,"Financial Assistance of upto 20,000/-, based on the quality and sceneries of the social, historical, mythological, dramas selected by the expert committee, Number of Instalments The financial assistance is provided in four instalments - 30 as the first instalment, given after the selection of the drama by the expert committee. - 40 as the second instalment, provided three days before the conduct of the drama. - 20 as the third instalment, released on the day when the drama is staged. - 10 as the fourth instalment, disbursed after receiving the utilization certificate and certification from the Chartered Accountant. The Mandram will bear the expenses towards the rent for the auditorium, sound and light, advertisement and invitation. The expenses relating to the rehearsal of drama, remuneration to the actors, scenes and settings, etc., have to be borne by the drama institution receiving financial assist",State/ UT,"Skills Employment, Sports Culture","Artist,  Drama,  Financial Assistance,  Production,  Troupes","Scheme of Extending Financial Assistance to New Drama Productions Financial Assistance of upto 20,000/-, based on the quality and sceneries of the social, historical, mythological, dramas selected by the expert committee, Number of Instalments The financial assistance is provided in four instalments - 30 as the first instalment, given after the selection of the drama by the expert committee. - 40 as the second instalment, provided three days before the conduct of the drama. - 20 as the third instalment, released on the day when the drama is staged. - 10 as the fourth instalment, disbursed after receiving the utilization certificate and certification from the Chartered Accountant. The Mandram will bear the expenses towards the rent for the auditorium, sound and light, advertisement and invitation. The expenses relating to the rehearsal of drama, remuneration to the actors, scenes and settings, etc., have to be borne by the drama institution receiving financial assist Skills Employment, Sports Culture Artist,  Drama,  Financial Assistance,  Production,  Troupes"
Sanitary Napkin Scheme,- Sanitary napkins are distributed to adolescent girls/women at 6/-.,State/ UT,"Health Wellness, Social welfare Empowerment","Girls,  Health,  Sanitary Pad","Sanitary Napkin Scheme - Sanitary napkins are distributed to adolescent girls/women at 6/-. Health Wellness, Social welfare Empowerment Girls,  Health,  Sanitary Pad"
Kam Lagat Pyaaj Bhandaran Sanrachna,"- Onion storage structure 25 Metric Ton capacity 50 unit cost subsidy, max grant 87,50",State/ UT,"Agriculture,Rural Environment","Agriculture,  Farmer,  Farming,  Vegetables","Kam Lagat Pyaaj Bhandaran Sanrachna - Onion storage structure 25 Metric Ton capacity 50 unit cost subsidy, max grant 87,50 Agriculture,Rural Environment Agriculture,  Farmer,  Farming,  Vegetables"
Drip Sanyantr,"1. 70 subsidy is given to general farmers and 75 subsidy is given to small, marginal Scheduled Caste, Scheduled Tribe, and women farmers. 1. All categories of farmers are given subsidies on drip plants up to a maximum area of 5 hectares.",State/ UT,"Agriculture,Rural Environment","Agriculture,  Drip Sanyantr,  Farmer,  Farming","Drip Sanyantr 1. 70 subsidy is given to general farmers and 75 subsidy is given to small, marginal Scheduled Caste, Scheduled Tribe, and women farmers. 1. All categories of farmers are given subsidies on drip plants up to a maximum area of 5 hectares. Agriculture,Rural Environment Agriculture,  Drip Sanyantr,  Farmer,  Farming"
Special Scholarship to SC Students in Selected Schools,"1. Under this scheme, eligible students will receive financial assistance of up to 50,000 per year or the actual amount of their annual fees, whichever is lower. 1. This assistance will cover admission fees, tuition fees, hostel fees, food bills, books, uniforms, and other related expen",State/ UT,Education Learning,"Bright Student,  Financial Assistance,  Scheduled Caste,  Scholarship,  Selected Schools","Special Scholarship to SC Students in Selected Schools 1. Under this scheme, eligible students will receive financial assistance of up to 50,000 per year or the actual amount of their annual fees, whichever is lower. 1. This assistance will cover admission fees, tuition fees, hostel fees, food bills, books, uniforms, and other related expen Education Learning Bright Student,  Financial Assistance,  Scheduled Caste,  Scholarship,  Selected Schools"
Dr. P. G. Solanki Scheme for Loan/Assistance to Medical Graduate Doctors of Scheduled Caste,"Loan/Assistance details under the scheme 1. Subsidy/assistance of 25,000/-. 1. Loan upto 2,50,000/- at the rate of in",State/ UT,"Banking,Financial Services and Insurance","Doctors,  Loan,  Medical Graduate,  Scheduled Caste","Dr. P. G. Solanki Scheme for Loan/Assistance to Medical Graduate Doctors of Scheduled Caste Loan/Assistance details under the scheme 1. Subsidy/assistance of 25,000/-. 1. Loan upto 2,50,000/- at the rate of in Banking,Financial Services and Insurance Doctors,  Loan,  Medical Graduate,  Scheduled Caste"
Loan Assistance to Scheduled Castes Students for Commercial Pilot Training,"- Under this scheme, a loan of 25 lakhs is provided at an interest rate of 4 to the eligible candida",State/ UT,"Banking,Financial Services and Insurance","Loan,  Pilot Training,  SC","Loan Assistance to Scheduled Castes Students for Commercial Pilot Training - Under this scheme, a loan of 25 lakhs is provided at an interest rate of 4 to the eligible candida Banking,Financial Services and Insurance Loan,  Pilot Training,  SC"
Marriage Grant for One Daughter Sainik Welfare,"- One-time financial assistance of 25,000/-. - The amount is credited to the beneficiary s Bank Account through R",State/ UT,Social welfare Empowerment,"Daughter,  Ex-Serviceman,  Financial Assistance,  Grant,  Marriage","Marriage Grant for One Daughter Sainik Welfare - One-time financial assistance of 25,000/-. - The amount is credited to the beneficiary s Bank Account through R Social welfare Empowerment Daughter,  Ex-Serviceman,  Financial Assistance,  Grant,  Marriage"
Festival Gift Coupons Sainik Welfare,"- Festival Gift Coupons worth 4,000/- per annum. The coupons are to be collected in person on intimation from DSW, normally between November and Janu",State/ UT,Social welfare Empowerment,"Ex-Serviceman,  Festival,  Financial Asisstance,  Sainik,  Widow","Festival Gift Coupons Sainik Welfare - Festival Gift Coupons worth 4,000/- per annum. The coupons are to be collected in person on intimation from DSW, normally between November and Janu Social welfare Empowerment Ex-Serviceman,  Festival,  Financial Asisstance,  Sainik,  Widow"
Spectacle Grant Sainik Welfare,"- Financial Assistance of 2,000/-, for the purchase of Spectacle. - The amount is credited to the beneficiary s Bank Account through R",State/ UT,Social welfare Empowerment,"Eyes,  Financial Assistance,  Grant,  Spectacle,  Widow","Spectacle Grant Sainik Welfare - Financial Assistance of 2,000/-, for the purchase of Spectacle. - The amount is credited to the beneficiary s Bank Account through R Social welfare Empowerment Eyes,  Financial Assistance,  Grant,  Spectacle,  Widow"
Cash Grant in lieu of Sewing Machine,"- A Cash Grant of 10,000/- is provided for the purchase of a Sewing Machine. - The amount is credited to the beneficiary s Bank Account through R",State/ UT,Social welfare Empowerment,"Ex-Serviceman,  Grant,  Sainik,  Widow","Cash Grant in lieu of Sewing Machine - A Cash Grant of 10,000/- is provided for the purchase of a Sewing Machine. - The amount is credited to the beneficiary s Bank Account through R Social welfare Empowerment Ex-Serviceman,  Grant,  Sainik,  Widow"
Anganwadi Workers Welfare Fund,"- Minimum amount of 30,000 /- will be given. - After completing 20 years of service 1,30,000/- will be given. Note There is a provision for an increase of 5 per year the deposit am",State/ UT,"Social welfare Empowerment, Banking,Financial Services and Insurance","Anganwadi Workers,  Provident Fund,  Women","Anganwadi Workers Welfare Fund - Minimum amount of 30,000 /- will be given. - After completing 20 years of service 1,30,000/- will be given. Note There is a provision for an increase of 5 per year the deposit am Social welfare Empowerment, Banking,Financial Services and Insurance Anganwadi Workers,  Provident Fund,  Women"
Sympathetic Assistance and Handholding for Youth Transformation and Amelioration - SAHAYTA,"- The total amount of self employment assistance provided shall be 2,00,000/- or the actual cost of self employment unit, which is lower. - The Amoun of 2,00,000/- has be compulsorily utilized for the self employment generation only. Refer the list of fields covered under the scheme are mention below 1. Manufacturing, servicing, and petty businesses for which there is considerable local demand. 1. Retail shops 1. Small IT centers and IT service centers 1. Agriculture and horticulture farms or any retail shop selling equipment/facilities connected to the fields or any incidental activity thereof. 1. Livestock farms including cattle and poultry feed retail shops 1. Tourism Agency. 1. Sericulture Farm. 1. Fish farming. 1. Manufacture/sale of biodegradable disposable items and craft paper 1. Solid waste management and incidental activities thereof. 1. Dairy farm and manufacture/sale of dairy products 1. Restaurant business 1. Food processing units arming and activities incidental thereto - If the total cost project cost of the self employment unit to be set up by the beneficiary exceeds 2,00,000/- , the amount over above 2,00,000/- shall be self financed by the applicant himself. The sanctioning authority shall facilitate the applicant to avail this component as Mudra",State/ UT,Social welfare Empowerment,nan,"Sympathetic Assistance and Handholding for Youth Transformation and Amelioration - SAHAYTA - The total amount of self employment assistance provided shall be 2,00,000/- or the actual cost of self employment unit, which is lower. - The Amoun of 2,00,000/- has be compulsorily utilized for the self employment generation only. Refer the list of fields covered under the scheme are mention below 1. Manufacturing, servicing, and petty businesses for which there is considerable local demand. 1. Retail shops 1. Small IT centers and IT service centers 1. Agriculture and horticulture farms or any retail shop selling equipment/facilities connected to the fields or any incidental activity thereof. 1. Livestock farms including cattle and poultry feed retail shops 1. Tourism Agency. 1. Sericulture Farm. 1. Fish farming. 1. Manufacture/sale of biodegradable disposable items and craft paper 1. Solid waste management and incidental activities thereof. 1. Dairy farm and manufacture/sale of dairy products 1. Restaurant business 1. Food processing units arming and activities incidental thereto - If the total cost project cost of the self employment unit to be set up by the beneficiary exceeds 2,00,000/- , the amount over above 2,00,000/- shall be self financed by the applicant himself. The sanctioning authority shall facilitate the applicant to avail this component as Mudra Social welfare Empowerment nan"
Mahila Samriddhi Yojana,"1. Financial Assistance up to cost of 1,40,000/- is provided. 1. The repayment period is within 3.5 years, in quarterly installments from date of each disbursement including moratorium period. 1. On repayment of loans under MSY, through the concerned State Channelizing Agencies SCA , the eligible beneficiaries can avail any loan under NSFDC sch",Central,"Business Entrepreneurship, Banking,Financial Services and Insurance, Social welfare Empowerment, Women and Child","Loan,  Micro-Finance,  Women Enterpreneur","Mahila Samriddhi Yojana 1. Financial Assistance up to cost of 1,40,000/- is provided. 1. The repayment period is within 3.5 years, in quarterly installments from date of each disbursement including moratorium period. 1. On repayment of loans under MSY, through the concerned State Channelizing Agencies SCA , the eligible beneficiaries can avail any loan under NSFDC sch Business Entrepreneurship, Banking,Financial Services and Insurance, Social welfare Empowerment, Women and Child Loan,  Micro-Finance,  Women Enterpreneur"
Fodder Minikits under Integrated Fodder Development Scheme General Category,"1. Under this scheme, the fodder seed minikit of 3 Kg, 7 Kg, or 10 Kg is given to the eligible beneficiary.",State/ UT,"Agriculture,Rural Environment","Farmer,  Fodder Minikits,  Seed","Fodder Minikits under Integrated Fodder Development Scheme General Category 1. Under this scheme, the fodder seed minikit of 3 Kg, 7 Kg, or 10 Kg is given to the eligible beneficiary. Agriculture,Rural Environment Farmer,  Fodder Minikits,  Seed"
Dr. Savitaben Ambedkar Inter Caste Marriage Assistance Scheme,"The scale of assistance provided to the couple in the case of inter-caste marriage under the scheme is as follows 1. An assistance of 1,00,000/- is provided to the couple for domestic expenses, for purchasing household appliances. 1. An assistance of 1,50,000/- is provided in the form of National Savings Certificates in the joint name of the married couple. 1. A total financial assistance of 2,50,000/- will be provided to the couple u",State/ UT,Social welfare Empowerment,"Financial Assistance,  Hindu,  Inter Caste,  Marriage,  Scheduled Caste","Dr. Savitaben Ambedkar Inter Caste Marriage Assistance Scheme The scale of assistance provided to the couple in the case of inter-caste marriage under the scheme is as follows 1. An assistance of 1,00,000/- is provided to the couple for domestic expenses, for purchasing household appliances. 1. An assistance of 1,50,000/- is provided in the form of National Savings Certificates in the joint name of the married couple. 1. A total financial assistance of 2,50,000/- will be provided to the couple u Social welfare Empowerment Financial Assistance,  Hindu,  Inter Caste,  Marriage,  Scheduled Caste"
Dr. APJ Abdul Kalam Shramik Pravidhik Shiksha Sahaayata Yojana,"Financial Assistance will be provided as - Degree Course - 25,000/- - Diploma Course - 15,000/- - Certificate Course - ï",State/ UT,Education Learning,"Education,  Financial Assistance,  Student Finance","Dr. APJ Abdul Kalam Shramik Pravidhik Shiksha Sahaayata Yojana Financial Assistance will be provided as - Degree Course - 25,000/- - Diploma Course - 15,000/- - Certificate Course - ï Education Learning Education,  Financial Assistance,  Student Finance"
Indira Gandhi National Vrdhavastha Pension Yojana,Pension amount 1000 /- per mo,State/ UT,"Banking,Financial Services and Insurance","Empower,  Financial Assistance,  Old Age,  Pension","Indira Gandhi National Vrdhavastha Pension Yojana Pension amount 1000 /- per mo Banking,Financial Services and Insurance Empower,  Financial Assistance,  Old Age,  Pension"
Chetan Chauhan Labor Sports Promotion Scheme,"Provide financial assistance who have been selected in district, state, national and international sports. 1. District level 25,000/- per son/daughter in lump sum once. 1. State level 50,000/- per son/daughter in lump sum. 1. National level 75,000/- lump sum per son/daughter. 1. International level 1,00,000/- lump",State/ UT,Sports Culture,"Financial Assistance,  Sport,  Subsidy","Chetan Chauhan Labor Sports Promotion Scheme Provide financial assistance who have been selected in district, state, national and international sports. 1. District level 25,000/- per son/daughter in lump sum once. 1. State level 50,000/- per son/daughter in lump sum. 1. National level 75,000/- lump sum per son/daughter. 1. International level 1,00,000/- lump Sports Culture Financial Assistance,  Sport,  Subsidy"
Indira Mahila Shakti Prashikshan Evam Koshal Sanvardhan Yojana RS-CSEP,"RKCL Rajasthan Knowledge Corporation Limited , free spoken English and personality development training is given to women and girls.",State/ UT,Education Learning,"Development,  Education,  Learning,  Women","Indira Mahila Shakti Prashikshan Evam Koshal Sanvardhan Yojana RS-CSEP RKCL Rajasthan Knowledge Corporation Limited , free spoken English and personality development training is given to women and girls. Education Learning Development,  Education,  Learning,  Women"
Indira Gandhi National Vidhva Pension yojana,- Women who are more than 40 to less than 75 years old monthly pension of 1000/-. - Women who are more than 75 years old monthly pension of ï,State/ UT,"Banking,Financial Services and Insurance","Pension,  Widow,  Women","Indira Gandhi National Vidhva Pension yojana - Women who are more than 40 to less than 75 years old monthly pension of 1000/-. - Women who are more than 75 years old monthly pension of ï Banking,Financial Services and Insurance Pension,  Widow,  Women"
"Assistance for Tools, Equipment, Shorting/Grading Equipment, PHM Equipment for Scheduled Castes HRT-4","1. The Scheduled Castes farmers will be eligible for assistance up to 75 of the cost of the Tools/Equipment or 3,750/-, whichever is less. 1. Farmer groups/cooperative societies will be eligible for assistance of 90 of the cost of equipment or up to 7,50,000/-, whichever is less, for the installation of Post-Harvest Management PHM",State/ UT,"Agriculture,Rural Environment","Cooperative Society,  Equipment,  Farmer,  Farmer Group,  Financial Assistance,  Horticulture,  HRT-4,  Post-Harvest Management,  Scheduled Caste,  Tools","Assistance for Tools, Equipment, Shorting/Grading Equipment, PHM Equipment for Scheduled Castes HRT-4 1. The Scheduled Castes farmers will be eligible for assistance up to 75 of the cost of the Tools/Equipment or 3,750/-, whichever is less. 1. Farmer groups/cooperative societies will be eligible for assistance of 90 of the cost of equipment or up to 7,50,000/-, whichever is less, for the installation of Post-Harvest Management PHM Agriculture,Rural Environment Cooperative Society,  Equipment,  Farmer,  Farmer Group,  Financial Assistance,  Horticulture,  HRT-4,  Post-Harvest Management,  Scheduled Caste,  Tools"
Harvesting Tools Assistance for Scheduled Tribes HRT-3,"1. The Scheduled Tribes farmers will be eligible for assistance up to 50 of the cost of the harvesting tool or 1,00,000/-, whichever is less. 1. FPO/FPC/FIG/SHG/ Cooperative Society will be eligible for assistance of 75 of the cost of the harvesting tool or 1,50,000/-, whichever is less. Note Unit Cost of harvesting tool should be up to",State/ UT,"Agriculture,Rural Environment","Cooperative Society,  Farmer,  FIG,  Financial Assistance,  FPC,  FPO,  Harvesting Tools,  HRT-3,  Scheduled Tribes,  SHG","Harvesting Tools Assistance for Scheduled Tribes HRT-3 1. The Scheduled Tribes farmers will be eligible for assistance up to 50 of the cost of the harvesting tool or 1,00,000/-, whichever is less. 1. FPO/FPC/FIG/SHG/ Cooperative Society will be eligible for assistance of 75 of the cost of the harvesting tool or 1,50,000/-, whichever is less. Note Unit Cost of harvesting tool should be up to Agriculture,Rural Environment Cooperative Society,  Farmer,  FIG,  Financial Assistance,  FPC,  FPO,  Harvesting Tools,  HRT-3,  Scheduled Tribes,  SHG"
Harvesting Tools Assistance for Scheduled Castes HRT-4,"1. The Scheduled Castes farmers will be eligible for assistance up to 50 of the cost of the harvesting tool or 1,00,000/-, whichever is less. 1. FPO/FPC/FIG/SHG/ Cooperative Society will be eligible for assistance of 75 of the cost of the harvesting tool or 1,50,000/-, whichever is less. Note Unit Cost of harvesting tool should be up to",State/ UT,"Agriculture,Rural Environment","Cooperative Society,  Farmer,  FIG,  Financial Assistance,  FPC,  FPO,  Harvesting Tool,  HRT-4,  Scheduled Caste,  SHG","Harvesting Tools Assistance for Scheduled Castes HRT-4 1. The Scheduled Castes farmers will be eligible for assistance up to 50 of the cost of the harvesting tool or 1,00,000/-, whichever is less. 1. FPO/FPC/FIG/SHG/ Cooperative Society will be eligible for assistance of 75 of the cost of the harvesting tool or 1,50,000/-, whichever is less. Note Unit Cost of harvesting tool should be up to Agriculture,Rural Environment Cooperative Society,  Farmer,  FIG,  Financial Assistance,  FPC,  FPO,  Harvesting Tool,  HRT-4,  Scheduled Caste,  SHG"
Grant of Financial Assistance for Purchase of Textbooks/Notebooks to School-Going Children of Industrial Workers/Employees GLWB,"Financial Assistance based on the child s Level of Education - Class 1st 1,200. - Class 2nd 1,200. - Class 3rd 1,800. - Class 4th 1,800. Purpose Purchase of Textbooks / Notebooks. Disbursement Through the management of the Head of the Institutions where their child",State/ UT,Education Learning,"Book,  Education,  School,  Student,  Worker","Grant of Financial Assistance for Purchase of Textbooks/Notebooks to School-Going Children of Industrial Workers/Employees GLWB Financial Assistance based on the child s Level of Education - Class 1st 1,200. - Class 2nd 1,200. - Class 3rd 1,800. - Class 4th 1,800. Purpose Purchase of Textbooks / Notebooks. Disbursement Through the management of the Head of the Institutions where their child Education Learning Book,  Education,  School,  Student,  Worker"
Funeral Assistance GBOCWWB,"Financial Assistance of 5,0",State/ UT,Social welfare Empowerment,"Crisis,  Death,  Financial Assistance,  Funeral,  Labour","Funeral Assistance GBOCWWB Financial Assistance of 5,0 Social welfare Empowerment Crisis,  Death,  Financial Assistance,  Funeral,  Labour"
Family Pension GBOCWWB,"50 of the pension that used to be provided to the pensioner the deceased or 200/-, whichever is hi",State/ UT,Social welfare Empowerment,"Financial Assistance,  Pension,  Spouse,  Widow,  Widower","Family Pension GBOCWWB 50 of the pension that used to be provided to the pensioner the deceased or 200/-, whichever is hi Social welfare Empowerment Financial Assistance,  Pension,  Spouse,  Widow,  Widower"
Death Benefit GBOCWWB,"- Financial Assistance of 30,000/-, if the death was natural. - Financial Assistance of 1,00,000/-, if the death was due to an accident, during the course of e",State/ UT,Social welfare Empowerment,"Accident,  Death,  Financial Assistance,  Labour,  Worker","Death Benefit GBOCWWB - Financial Assistance of 30,000/-, if the death was natural. - Financial Assistance of 1,00,000/-, if the death was due to an accident, during the course of e Social welfare Empowerment Accident,  Death,  Financial Assistance,  Labour,  Worker"
General Pre Matric Scholarship-Uttar Pradesh,"For complete course duration 3,000/- annua",State/ UT,Education Learning,"Education,  Financial Assistance,  Scholarship","General Pre Matric Scholarship-Uttar Pradesh For complete course duration 3,000/- annua Education Learning Education,  Financial Assistance,  Scholarship"
Maintenance Allowance for Persons Affected with Muscular Dystrophy,"- Financial Assistance of 2,000/- per month. NOTE The allowance is sent through ECS to their accounts directly from the Treasury.",State/ UT,Social welfare Empowerment,"Disability,  Financial Assistance,  Monthly Allowance,  Muscular Dystrophy,  Social Welfare","Maintenance Allowance for Persons Affected with Muscular Dystrophy - Financial Assistance of 2,000/- per month. NOTE The allowance is sent through ECS to their accounts directly from the Treasury. Social welfare Empowerment Disability,  Financial Assistance,  Monthly Allowance,  Muscular Dystrophy,  Social Welfare"
Scheme for Providing Financial Assistance for the Purchase of Laptop or Desktop Computer to the Media Persons of the Union Territory of Puducherry,"Financial Assistance Upto 15,000/- per month, or as may be fixed by the Government from time to time. Purpose For the purchase of ANY ONE of the following - - A brand new personal computer that runs on AC power. - A brand new, small, portable personal computer that runs on either batteries or AC power designed for use during travel. Mode of Payment The Member Secretary-cum-Director will hand over the amount to the applicant after obtaining the necessary receipt from the applicant in the prescribed format Form-VI https //info.py.gov.in/sites/default/files/25-laptop.p",State/ UT,"Science, IT Communications, Social welfare Empowerment","Computer,  Desktop,  Financial Assistance,  Laptop,  Media,  Newspaper","Scheme for Providing Financial Assistance for the Purchase of Laptop or Desktop Computer to the Media Persons of the Union Territory of Puducherry Financial Assistance Upto 15,000/- per month, or as may be fixed by the Government from time to time. Purpose For the purchase of ANY ONE of the following - - A brand new personal computer that runs on AC power. - A brand new, small, portable personal computer that runs on either batteries or AC power designed for use during travel. Mode of Payment The Member Secretary-cum-Director will hand over the amount to the applicant after obtaining the necessary receipt from the applicant in the prescribed format Form-VI https //info.py.gov.in/sites/default/files/25-laptop.p Science, IT Communications, Social welfare Empowerment Computer,  Desktop,  Financial Assistance,  Laptop,  Media,  Newspaper"
Dr. Ambedkar Awas Yojana,"1. Under the scheme, individuals belonging to the scheduled caste category are provided with 1,20,000/- assistance for the construction of houses in both urban and rural areas. 1. The assistance will be paid in three instalments, first instalment is 40,000/- with order of administrative sanction , the second instalment is 60,000/- after reaching the lintel level , and the third instalment is 20,000/- On completion of constructio",State/ UT,Housing Shelter,"Awas,  BPL,  Financial Assistance,  House,  Scheduled Caste","Dr. Ambedkar Awas Yojana 1. Under the scheme, individuals belonging to the scheduled caste category are provided with 1,20,000/- assistance for the construction of houses in both urban and rural areas. 1. The assistance will be paid in three instalments, first instalment is 40,000/- with order of administrative sanction , the second instalment is 60,000/- after reaching the lintel level , and the third instalment is 20,000/- On completion of constructio Housing Shelter Awas,  BPL,  Financial Assistance,  House,  Scheduled Caste"
Post Graduate Scholarship for GATE/GPAT Qualified Students for Pursuing M.Tech/M.E./M.Pharm-UGC,"1. The Scholarship under the scheme is 12,400/- per month per student. 2. An annual contingency of 5,000/- will be given to the eligible student. Note 01 If a student scores below 60 in any semester he/she shall be paid a scholarship 1,550/- in that particular semester, if the student re-appear for the same semester and scores above 60 , he will be entitled to get regular scholarship i.e. 12,400/- p.m. for that semester in which student reappeared. But thereafter after he is eligible for the full scholarship amount, in the next semesters. Note 02 The contingency grant sanctioned will be reimbursed to the scholar on the actual expenditure incurred by him/her on the admissible items within the limit. The books and non-consumable items purchased or acquired, out of the contingency grant, will be the property of the concerned university or the institution and the scholars have to return the same at the end of the programme i.e. post graduate and research work tion. Note 03 No house rent is admissible to M.E./M.Tech./M.Pharm. students. Note 04 The scholar shall not undertake any paid assignment emoluments/salary/stipend during the tenure of the scholarship. Note 05 It will be obligatory on the part of every post graduate student to undertake 8 to 10 hours per week of work related to teaching and research activities as assigned to him/her by the institute. This includes tutorials, laboratory classes, development and maintenance of laboratories, assistance in research and activities undertaken by faculty members, maintenance and operation of computer and other central facilities, assistance in library, etc. Note 06 Scholarship shall be terminated immediately if the scholar has failed in any semester. It will be the responsibility of the University to take action in this matter.",Central,Education Learning,"GATE,  GPAT,  Post Graduate,  Scholarship,  Student,  UGC","Post Graduate Scholarship for GATE/GPAT Qualified Students for Pursuing M.Tech/M.E./M.Pharm-UGC 1. The Scholarship under the scheme is 12,400/- per month per student. 2. An annual contingency of 5,000/- will be given to the eligible student. Note 01 If a student scores below 60 in any semester he/she shall be paid a scholarship 1,550/- in that particular semester, if the student re-appear for the same semester and scores above 60 , he will be entitled to get regular scholarship i.e. 12,400/- p.m. for that semester in which student reappeared. But thereafter after he is eligible for the full scholarship amount, in the next semesters. Note 02 The contingency grant sanctioned will be reimbursed to the scholar on the actual expenditure incurred by him/her on the admissible items within the limit. The books and non-consumable items purchased or acquired, out of the contingency grant, will be the property of the concerned university or the institution and the scholars have to return the same at the end of the programme i.e. post graduate and research work tion. Note 03 No house rent is admissible to M.E./M.Tech./M.Pharm. students. Note 04 The scholar shall not undertake any paid assignment emoluments/salary/stipend during the tenure of the scholarship. Note 05 It will be obligatory on the part of every post graduate student to undertake 8 to 10 hours per week of work related to teaching and research activities as assigned to him/her by the institute. This includes tutorials, laboratory classes, development and maintenance of laboratories, assistance in research and activities undertaken by faculty members, maintenance and operation of computer and other central facilities, assistance in library, etc. Note 06 Scholarship shall be terminated immediately if the scholar has failed in any semester. It will be the responsibility of the University to take action in this matter. Education Learning GATE,  GPAT,  Post Graduate,  Scholarship,  Student,  UGC"
